Season,Team,Home Support,Away Support,Average age
2014/2015,Manchester United,67801.5,7533.5,25.8
2014/2015,Arsenal,53992.8,5999.2,26
2014/2015,Newcastle United,45323.1,5035.9,25.8
2014/2015,Manchester City,40828.5,4536.5,28.5
2014/2015,Liverpool,40193.1,4465.9,25.1
2014/2015,Chelsea ,37391.4,4154.6,26.8
2014/2015,Sunderland ,36687.6,4076.4,27.7
2014/2015,Everton ,34565.4,3840.6,27.8
2014/2015,Tottenham Hotspur,32155.2,3572.8,24.3
2014/2015,West Ham United,31383.9,3487.1,26.7
2014/2015,Aston Villa,30719.7,3413.3,26.1
2014/2015,Leicester City,28523.7,3169.3,27.9
2014/2015,Southampton ,27586.8,3065.2,25.9
2014/2015,Stoke City,24372.9,2708.1,27.3
2014/2015,West Bromwich Albion,22557.6,2506.4,27.9
2014/2015,Crystal Palace,21970.8,2441.2,27.7
2014/2015,Hull City,21201.3,2355.7,27.2
2014/2015,Swansea City,18499.5,2055.5,26.5
2014/2015,Burnley ,17217.9,1913.1,27.1
2014/2015,Queens Park Rangers,16028.1,1780.9,28.1
2015/2016,Manchester United,67751.1,7527.9,25.5
2015/2016,Arsenal ,53949.6,5994.4,26.8
2015/2016,Manchester City,48636.9,5404.1,28.2
2015/2016,Newcastle United,44778.6,4975.4,25.2
2015/2016,Liverpool ,39519,4391,25.1
2015/2016,Sunderland,38763.9,4307.1,27.2
2015/2016,Chelsea ,37350,4150,26.6
2015/2016,Everton ,34311.6,3812.4,26.3
2015/2016,Tottenham Hotspur,32157.9,3573.1,24.4
2015/2016,West Ham United,31419,3491,26.5
2015/2016,Aston Villa,30321,3369,26.5
2015/2016,Leicester City,28818.9,3202.1,27.6
2015/2016,Southampton ,27675.9,3075.1,26.3
2015/2016,Stoke City,24780.6,2753.4,27.2
2015/2016,Norwich City,24274.8,2697.2,27.5
2015/2016,Crystal Palace,22342.5,2482.5,27.6
2015/2016,West Bromwich Albion,22167.9,2463.1,28.9
2015/2016,Swansea City,18639.9,2071.1,27.5
2015/2016,Watford ,18534.6,2059.4,28.1
2015/2016, AFC Bournemouth,10070.1,1118.9,27.6
2010/2011,Manchester United,67490.1,7498.9,28.2
2010/2011,Arsenal ,54020.7,6002.3,24.7
2010/2011,Newcastle United,42946.2,4771.8,26.3
2010/2011,Manchester City,41314.5,4590.5,25.3
2010/2011,Liverpool ,38541.6,4282.4,26.8
2010/2011,Chelsea ,37291.5,4143.5,28.2
2010/2011,Sunderland,36009.9,4001.1,24.8
2010/2011,Aston Villa,33474.6,3719.4,27.4
2010/2011,Everton ,32457.6,3606.4,27.9
2010/2011,Tottenham Hotspur,32149.8,3572.2,26.4
2010/2011,West Ham United,30063.6,3340.4,27.8
2010/2011,Wolverhampton Wanderers,24926.4,2769.6,25.7
2010/2011,Stoke City,24172.2,2685.8,27.5
2010/2011,Birmingham City,22915.8,2546.2,27.8
