,Season,Date,Home_Team_ID,Away_Team_ID,Home_Goals,Away_Goals,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HomeTeamRating,AwayTeamRating,HomeShortPass,AwayShortPass,HomeLongPass,AwayLongPass,HomeFreeKickAccuracy,AwayFreeKickAccuracy,HomeBallControl,AwayBallControl,HomeSprintSpeed,AwaySprintSpeed,HomeShotPower,AwayShotPower,HomeInterception,AwayInterception,HomePenalties,AwayPenalties,HomeStandingTackle,AwayStandingTackle,HomeSlindingTackle,AwaySlindingTackle,Home Support,Away Support,Age,HomeTeamWins_Home,HomeTeamWins_Away,AwayTeamWins_Home,AwayTeamWins_Away,HomeVsAway_Home,HomeVsAway_Away,Outcome
0,2008/2009,2008-08-17,10260,10261,1,1,30726,30362.0,30620,30865,32569.0,24148,34944.0,30373.0,24154.0,24157.0,30829.0,24224,25518.0,24228.0,30929,29581.0,38807.0,40565.0,30360.0,33852.0,34574.0,37799.0,82.45454545454547,75.27272727272728,72.81818181818181,67.0909090909091,72.36363636363636,65.36363636363637,51.90909090909091,43.63636363636364,73.9090909090909,67.90909090909092,76.81818181818183,74.72727272727273,66.18181818181819,56.45454545454546,77.36363636363636,71.0,79.54545454545453,69.72727272727272,62.81818181818183,56.090909090909086,60.63636363636364,0.0,67773.6,7530.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,2008/2009,2008-08-16,9825,8659,1,0,23686,26111.0,38835,30986,31291.0,31013,30935.0,39297.0,26181.0,30960.0,36410.0,36373,36832.0,23115.0,37280,24728.0,24664.0,31088.0,23257.0,24171.0,25922.0,27267.0,78.0,71.18181818181819,65.45454545454545,61.72727272727273,60.090909090909086,57.90909090909091,39.63636363636363,48.54545454545454,69.36363636363636,62.54545454545454,80.00000000000001,67.9090909090909,61.18181818181817,59.54545454545455,70.0909090909091,65.27272727272725,69.63636363636364,67.63636363636364,56.18181818181817,57.18181818181818,60.63636363636363,54.54545454545455,54036.0,6004.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,2008/2009,2008-08-16,8472,8650,0,1,32562,38836.0,24446,24408,36786.0,38802,24655.0,17866.0,30352.0,23927.0,24410.0,30660,37442.0,30617.0,24134,414792.0,37139.0,30618.0,40701.0,24800.0,24635.0,30853.0,73.72727272727273,79.9090909090909,62.27272727272727,65.81818181818181,62.18181818181818,59.63636363636364,50.81818181818181,51.272727272727266,66.27272727272727,67.72727272727273,70.0,73.81818181818183,60.99999999999999,64.09090909090908,70.27272727272727,77.45454545454545,65.72727272727272,76.0,55.00000000000001,58.090909090909086,53.09090909090909,54.54545454545454,36151.2,4016.8,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2008/2009,2008-08-16,8654,8528,2,1,36374,30966.0,23818,37277,30687.0,36394,37169.0,24223.0,24773.0,34543.0,23139.0,34421,34987.0,35472.0,111865,25005.0,35327.0,25150.0,97988.0,41877.0,127857.0,34466.0,76.81818181818181,73.27272727272728,62.45454545454545,62.18181818181818,57.0909090909091,56.09090909090909,46.727272727272734,51.63636363636364,68.72727272727272,67.00000000000001,73.0,73.0909090909091,57.45454545454545,64.36363636363636,74.27272727272728,66.72727272727273,71.54545454545456,66.45454545454545,59.18181818181817,51.81818181818182,0.0,0.0,30330.0,3370.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,2
4,2008/2009,2008-08-17,10252,8456,4,2,30380,30357.0,24658,43280,23282.0,38609,24780.0,23782.0,23354.0,23264.0,26165.0,31432,46403.0,24208.0,23939,33963.0,47413.0,40198.0,42119.0,0.0,33633.0,107216.0,77.72727272727272,64.9090909090909,66.36363636363637,56.90909090909091,64.99999999999999,55.90909090909091,53.09090909090908,41.90909090909091,68.45454545454545,57.45454545454545,76.9090909090909,63.81818181818182,62.54545454545453,54.27272727272727,73.54545454545453,54.363636363636374,73.18181818181817,54.54545454545455,60.27272727272727,51.545454545454554,0.0,45.63636363636363,35830.8,3981.2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5,2008/2009,2008-08-16,8668,8655,2,3,31465,30371.0,24004,33086,30857.0,24011,109058.0,23268.0,24846.0,24006.0,24160.0,30622,37764.0,19020.0,23921,24136.0,30342.0,23889.0,23916.0,23922.0,34176.0,30646.0,76.9090909090909,77.63636363636364,69.54545454545455,64.72727272727272,65.27272727272728,61.63636363636364,48.45454545454545,47.72727272727272,69.9090909090909,67.18181818181819,73.63636363636364,71.18181818181817,71.36363636363636,57.63636363636364,73.18181818181819,72.0,69.45454545454545,72.18181818181817,65.27272727272727,60.81818181818181,0.0,56.36363636363636,32100.3,3566.7,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2008/2009,2008-08-16,8549,8586,2,1,35442,24166.0,24167,38899,24161.0,24753,97932.0,24393.0,30892.0,35608.0,42183.0,30455,34182.0,38697.0,24531,40006.0,30895.0,30818.0,31097.0,23760.0,41157.0,23949.0,73.9090909090909,79.0909090909091,63.72727272727273,67.63636363636363,54.0,65.81818181818183,48.81818181818181,56.72727272727273,66.18181818181819,73.45454545454545,72.09090909090908,78.0909090909091,63.545454545454554,65.18181818181817,70.18181818181819,71.63636363636364,65.81818181818183,72.9090909090909,47.72727272727272,53.545454545454554,0.0,47.81818181818182,25586.1,2842.9,24.4,0.0,0.0,0.0,0.0,0.0,0.0,2
7,2008/2009,2008-08-16,8559,10194,3,1,23932,26454.0,23783,24336,23785.0,23931,23933.0,35532.0,24372.0,23934.0,34261.0,23794,23369.0,34214.0,40695,40574.0,25668.0,23333.0,23253.0,23072.0,23288.0,23314.0,75.09090909090911,67.27272727272727,64.54545454545455,55.454545454545446,59.27272727272727,50.454545454545446,44.45454545454545,48.0,66.27272727272727,58.27272727272727,71.18181818181819,66.36363636363637,62.0,55.81818181818182,74.18181818181817,66.0909090909091,68.81818181818181,64.63636363636363,64.45454545454544,50.0,63.54545454545455,53.0,20237.4,2248.6,27.2,0.0,0.0,0.0,0.0,0.0,0.0,2
8,2008/2009,2008-08-16,8667,9879,2,1,23021,34430.0,34275,24509,23022.0,23438,23023.0,30595.0,23025.0,39073.0,23352.0,30633,37266.0,26777.0,23780,24781.0,24020.0,30338.0,24843.0,24737.0,34248.0,24741.0,68.27272727272727,74.9090909090909,58.45454545454545,68.0909090909091,54.636363636363626,68.27272727272727,48.454545454545446,56.90909090909091,59.909090909090914,68.9090909090909,65.18181818181817,73.81818181818183,53.72727272727273,67.0909090909091,63.09090909090909,75.81818181818181,62.54545454545455,74.36363636363636,58.90909090909091,56.99999999999999,54.9090909090909,54.45454545454546,22334.4,2481.6,27.6,0.0,0.0,0.0,0.0,0.0,0.0,2
9,2008/2009,2008-08-17,8455,8462,4,0,30859,25925.0,30911,30627,38834.0,30631,32345.0,30699.0,30686.0,30630.0,37804.0,36286,34036.0,34418.0,24216,23953.0,25517.0,23988.0,26108.0,38820.0,30348.0,30830.0,84.27272727272728,77.45454545454545,74.54545454545455,64.18181818181817,71.45454545454545,55.18181818181818,54.36363636363637,37.54545454545455,74.90909090909089,67.0909090909091,77.9090909090909,73.0909090909091,66.54545454545455,59.54545454545455,81.0,73.45454545454545,81.81818181818183,73.54545454545455,61.81818181818181,60.27272727272727,63.36363636363636,54.18181818181818,37429.2,4158.8,27.3,0.0,0.0,0.0,0.0,0.0,0.0,2
10,2008/2009,2008-10-29,10260,8654,2,0,35906,38994.0,30620,30865,32569.0,30893,24148.0,40961.0,40945.0,38817.0,27430.0,36374,36394.0,24751.0,23818,26348.0,30966.0,24747.0,33049.0,27665.0,33781.0,24773.0,81.54545454545455,75.36363636363636,74.9090909090909,66.63636363636364,69.18181818181817,61.81818181818183,61.090909090909086,50.0,77.63636363636365,68.0,79.63636363636364,73.27272727272728,70.36363636363636,60.18181818181819,68.36363636363635,70.90909090909092,78.81818181818181,69.54545454545455,54.99999999999999,62.0,52.090909090909086,59.90909090909091,67773.6,7530.4,27.0,0.6666666666666666,0.4,0.6,0.25,0.0,0.0,2
11,2008/2009,2008-10-29,9825,8586,4,4,23686,26111.0,38835,30616,31291.0,31013,30613.0,39297.0,26181.0,30843.0,30960.0,30455,32870.0,46403.0,38697,40006.0,23760.0,31097.0,30818.0,24656.0,31921.0,40755.0,81.81818181818181,79.09090909090908,73.99999999999999,70.63636363636364,70.54545454545455,71.81818181818183,54.0,62.81818181818182,75.36363636363636,72.09090909090908,79.81818181818183,77.81818181818183,65.81818181818181,69.81818181818181,71.45454545454545,71.54545454545453,73.0,73.0,57.63636363636363,65.27272727272727,57.18181818181818,58.18181818181819,54036.0,6004.0,24.0,0.75,0.6,0.2,0.0,0.0,0.0,1
12,2008/2009,2008-10-29,8549,8456,2,0,22978,24166.0,24163,24167,24161.0,24753,24393.0,33128.0,30892.0,42183.0,35608.0,31432,23939.0,24208.0,24211,24209.0,39027.0,30367.0,24213.0,40198.0,33974.0,51553.0,74.54545454545455,78.18181818181817,64.9090909090909,64.45454545454545,57.636363636363626,59.45454545454546,47.0,49.54545454545455,67.0909090909091,70.0909090909091,71.27272727272728,77.18181818181819,61.81818181818181,63.27272727272727,68.0,64.45454545454545,67.0,67.0909090909091,51.636363636363626,56.45454545454545,0.0,50.27272727272727,25586.1,2842.9,24.4,0.5,0.2,0.6,0.25,0.0,0.0,2
13,2008/2009,2008-10-29,8559,8668,0,1,23932,26454.0,23783,24336,23785.0,37996,23933.0,35532.0,24372.0,23934.0,34261.0,31465,30371.0,24004.0,23268,33086.0,24011.0,39618.0,24006.0,36012.0,24160.0,30735.0,75.0,79.18181818181819,65.9090909090909,68.72727272727273,59.90909090909091,65.54545454545455,46.45454545454545,49.81818181818181,66.0909090909091,70.0,72.36363636363636,76.09090909090908,62.36363636363636,70.36363636363636,74.09090909090908,70.27272727272728,68.63636363636363,71.81818181818181,60.18181818181817,59.36363636363636,58.27272727272727,56.72727272727272,20237.4,2248.6,27.2,0.25,0.2,0.0,0.5,0.0,0.0,0
14,2008/2009,2008-10-29,8667,8455,0,3,23021,40132.0,26066,34275,23022.0,34437,23023.0,30595.0,39073.0,23352.0,26143.0,30859,25925.0,30911.0,30627,38834.0,32345.0,30631.0,30686.0,30630.0,30679.0,37804.0,70.81818181818183,84.36363636363637,58.272727272727266,75.36363636363636,54.54545454545455,72.63636363636364,46.36363636363636,54.90909090909091,62.0,76.0909090909091,67.36363636363636,75.9090909090909,59.727272727272734,68.54545454545455,64.81818181818181,81.00000000000001,59.99999999999999,76.0909090909091,60.18181818181818,62.90909090909091,0.0,59.0,22334.4,2481.6,27.6,0.5,0.8,0.4,1.0,0.0,0.0,0
15,2008/2009,2008-10-29,10194,8472,1,0,23794,40574.0,40005,40695,35467.0,22994,23333.0,24133.0,25668.0,23314.0,38755.0,24527,36786.0,24740.0,24408,43259.0,38802.0,24411.0,0.0,30352.0,23927.0,33418.0,69.72727272727273,66.81818181818181,59.90909090909091,54.36363636363636,54.36363636363636,52.909090909090914,45.00000000000001,46.09090909090909,59.18181818181818,58.81818181818183,69.81818181818183,67.0909090909091,56.72727272727272,59.0,66.72727272727272,60.45454545454547,63.54545454545455,57.81818181818183,60.36363636363635,48.545454545454554,57.81818181818181,48.90909090909091,24294.6,2699.4,28.3,0.5,0.0,0.4,0.25,0.0,0.0,2
16,2008/2009,2008-10-29,8650,8462,1,0,30660,37442.0,24134,30617,34222.0,34601,30889.0,95327.0,30915.0,30618.0,37139.0,36286,24630.0,26108.0,24216,40987.0,25543.0,24653.0,25517.0,23988.0,63520.0,30830.0,80.18181818181817,75.63636363636364,69.18181818181819,65.18181818181819,71.45454545454545,63.0909090909091,54.45454545454545,43.0,71.81818181818181,68.63636363636364,74.81818181818183,73.0,67.9090909090909,64.0909090909091,76.63636363636364,69.45454545454544,77.36363636363637,71.63636363636365,61.27272727272727,64.81818181818181,58.09090909090909,0.0,39249.9,4361.1,26.4,0.75,0.8,0.6,0.25,0.0,0.0,2
17,2008/2009,2008-10-29,10252,8655,3,2,30380,30357.0,43280,33863,23282.0,38807,38609.0,23782.0,24780.0,23354.0,23264.0,30622,49571.0,19020.0,23921,37764.0,30842.0,38711.0,24136.0,23916.0,0.0,34947.0,79.18181818181817,68.45454545454545,69.63636363636364,55.0,70.54545454545455,58.909090909090914,54.27272727272727,39.636363636363626,69.72727272727272,58.27272727272727,76.63636363636363,63.63636363636363,62.90909090909091,52.54545454545455,73.0,62.81818181818182,73.45454545454545,63.36363636363636,63.54545454545454,56.09090909090908,0.0,54.63636363636363,35830.8,3981.2,27.0,0.5,0.6,0.2,0.5,0.0,0.0,2
18,2008/2009,2008-10-28,10261,8659,2,1,24224,25518.0,24228,30929,37475.0,33852,40565.0,24205.0,34574.0,37799.0,24225.0,36373,31731.0,42594.0,26527,24728.0,40055.0,24664.0,38433.0,24171.0,23257.0,32570.0,76.54545454545455,70.72727272727272,66.0,64.27272727272728,65.45454545454544,60.0,50.09090909090909,53.18181818181818,70.18181818181819,64.0909090909091,75.72727272727272,68.18181818181819,62.81818181818181,61.63636363636365,68.90909090909092,64.0,69.54545454545455,68.54545454545455,59.99999999999999,55.909090909090914,54.45454545454545,53.81818181818181,43875.0,4875.0,26.6,0.25,0.0,0.4,0.25,0.0,0.0,2
19,2008/2009,2008-10-29,9879,8528,2,0,30633,37266.0,23780,26777,24781.0,24020,24843.0,30338.0,24737.0,31907.0,24741.0,34421,35472.0,25005.0,111865,97988.0,25150.0,38816.0,34987.0,35327.0,34466.0,127857.0,74.54545454545456,73.0909090909091,67.72727272727273,62.54545454545455,64.81818181818183,55.727272727272734,58.63636363636363,52.63636363636364,69.36363636363636,66.72727272727272,74.72727272727273,72.45454545454545,67.45454545454547,66.72727272727273,72.36363636363636,67.9090909090909,73.18181818181819,65.72727272727272,57.09090909090908,58.90909090909091,52.909090909090914,0.0,21909.6,2434.4,28.7,0.5,0.0,0.2,0.25,0.0,0.0,2
20,2008/2009,2008-11-01,10260,8667,4,3,30726,30615.0,30620,30865,32569.0,30893,34944.0,40961.0,40945.0,27430.0,30829.0,23021,40132.0,26066.0,34275,23022.0,34437.0,23946.0,30595.0,39073.0,23352.0,26143.0,84.63636363636364,71.0909090909091,75.81818181818181,59.36363636363636,73.81818181818181,55.72727272727272,59.09090909090909,46.99999999999999,77.90909090909092,63.81818181818183,78.0909090909091,68.45454545454545,71.27272727272727,60.72727272727273,76.8181818181818,64.27272727272727,78.63636363636363,61.272727272727266,59.81818181818181,58.909090909090914,56.090909090909086,0.0,67773.6,7530.4,27.0,0.75,0.4,0.4,0.8,0.0,0.0,2
21,2008/2009,2008-11-01,8586,8650,2,1,30455,46403.0,30354,38697,40006.0,23760,34182.0,24656.0,25421.0,31097.0,23949.0,30660,37442.0,30617.0,25984,414792.0,37139.0,30618.0,38818.0,30889.0,37920.0,24635.0,78.45454545454545,82.0909090909091,67.81818181818181,73.63636363636364,67.45454545454547,73.81818181818181,54.63636363636363,55.27272727272727,70.63636363636364,74.0909090909091,76.63636363636365,75.90909090909092,66.63636363636364,69.63636363636364,71.18181818181817,80.45454545454544,74.00000000000001,79.18181818181819,64.72727272727272,64.09090909090908,57.63636363636364,60.27272727272727,32336.1,3592.9,24.8,0.2,0.0,0.8,0.8,0.0,0.0,2
22,2008/2009,2008-11-01,8668,9879,1,0,31465,30371.0,24004,23268,33086.0,36012,24006.0,39618.0,24011.0,30876.0,24160.0,30633,37266.0,23780.0,26777,24781.0,24020.0,24843.0,30338.0,24737.0,24741.0,31907.0,79.18181818181819,74.54545454545455,70.0,67.72727272727272,67.81818181818181,64.81818181818183,50.63636363636363,58.63636363636363,69.63636363636364,69.36363636363636,75.27272727272727,74.72727272727273,70.9090909090909,67.45454545454547,71.72727272727273,72.36363636363636,70.72727272727273,73.18181818181819,61.54545454545453,57.09090909090908,59.54545454545455,52.909090909090914,32100.3,3566.7,26.3,0.0,0.6,0.6,0.0,0.0,0.0,2
23,2008/2009,2008-11-01,8549,8654,1,1,22978,24166.0,24163,24167,24161.0,24753,24393.0,33128.0,30892.0,42183.0,35608.0,36374,30687.0,24751.0,23818,26348.0,36394.0,109898.0,24747.0,30734.0,33781.0,118390.0,74.54545454545455,72.27272727272727,64.9090909090909,63.0909090909091,57.636363636363626,57.54545454545455,47.0,45.9090909090909,67.0909090909091,63.81818181818183,71.27272727272728,72.54545454545455,61.81818181818181,54.727272727272734,68.0,63.45454545454545,67.0,66.63636363636364,51.636363636363626,56.454545454545446,0.0,56.000000000000014,25586.1,2842.9,24.4,0.6,0.2,0.6,0.2,0.0,0.0,1
24,2008/2009,2008-11-03,10261,10252,2,0,24224,25518.0,24228,30929,37475.0,33852,24205.0,30360.0,34574.0,37799.0,24225.0,30380,30357.0,33863.0,43280,23282.0,38807.0,24780.0,23782.0,23354.0,26165.0,23264.0,76.45454545454545,79.54545454545455,66.45454545454545,68.81818181818183,64.99999999999999,67.63636363636363,49.272727272727266,53.36363636363637,69.63636363636364,69.45454545454545,74.27272727272727,77.72727272727272,61.54545454545455,63.0,69.81818181818183,73.81818181818181,70.27272727272727,74.36363636363636,61.27272727272727,59.63636363636363,0.0,0.0,43875.0,4875.0,26.6,0.4,0.0,0.6,0.6,0.0,0.0,2
25,2008/2009,2008-11-02,8559,8456,2,0,23932,26454.0,23783,24336,23785.0,23784,23933.0,35532.0,37996.0,23934.0,24372.0,31432,30509.0,24211.0,23939,24208.0,24213.0,39027.0,40198.0,30367.0,107216.0,33974.0,74.45454545454545,77.72727272727273,66.36363636363635,64.36363636363636,61.54545454545455,63.363636363636374,42.45454545454545,51.09090909090909,65.0909090909091,70.9090909090909,72.18181818181819,75.18181818181819,59.9090909090909,63.090909090909086,73.9090909090909,66.0,67.27272727272727,68.0909090909091,64.54545454545453,58.09090909090909,63.36363636363636,53.18181818181818,20237.4,2248.6,27.2,0.2,0.2,0.6,0.2,0.0,0.0,2
26,2008/2009,2008-11-01,8659,8655,2,2,36373,31731.0,42594,26527,24728.0,24171,24664.0,40055.0,38433.0,32570.0,27267.0,30622,49571.0,19020.0,23921,25667.0,30842.0,38711.0,30849.0,24136.0,34176.0,34947.0,70.54545454545455,73.0,63.18181818181818,59.0909090909091,56.81818181818182,60.27272727272727,49.63636363636364,39.63636363636364,63.63636363636364,62.63636363636364,68.81818181818183,71.81818181818183,60.363636363636374,61.09090909090909,63.81818181818181,67.18181818181817,68.18181818181819,65.18181818181819,54.909090909090914,60.18181818181817,53.36363636363637,61.72727272727273,23245.2,2582.8,25.1,0.4,0.2,0.2,0.4,0.0,0.0,1
