,teamID,seasons,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
0,10260,2014/2015,46,34,54,49,72,56,42,41,56
1,10260,2015/2016,38,42,44,49,44,40,54,53,56
2,10260,2010/2011,65,38,40,65,65,70,45,45,65
3,10260,2008/2009,51.83333333,38,45.83333333,50,63.16666667,53.83333333,45,48,54.83333333
4,10260,2009/2010,70,38,45,45,70,65,40,50,40
5,10260,2012/2013,51.83333333,38,45.83333333,50,63.16666667,53.83333333,45,48,54.83333333
6,10260,2011/2012,46,38,54,46,60,55,40,50,56
7,10260,2013/2014,46,38,38,46,68,37,49,49,56
8,9825,2014/2015,59,51,26,28,55,64,51,44,52
9,9825,2015/2016,59,51,30,28,44,46,51,44,52
10,9825,2010/2011,75,51,40,40,45,65,50,40,45
11,9825,2008/2009,52.33333333,51,31.16666667,34.66666667,46.33333333,46.5,50.5,46.5,50.5
12,9825,2009/2010,66,51,30,30,45,35,30,40,50
13,9825,2012/2013,52.33333333,51,31.16666667,34.66666667,46.33333333,46.5,50.5,46.5,50.5
14,9825,2011/2012,25,51,32,41,34,30,57,57,52
15,9825,2013/2014,30,51,29,41,55,39,64,54,52
16,10261,2014/2015,54,33,47,47,51,39,56,54,51
17,10261,2015/2016,58,45,49,47,54,46,41,39,51
18,10261,2010/2011,55,39,50,60,50,60,45,45,50
19,10261,2008/2009,58.16666667,39,55.33333333,53.5,57.33333333,49.83333333,46.66666667,48.33333333,48.33333333
20,10261,2009/2010,70,39,60,65,70,60,45,65,45
21,10261,2012/2013,58.16666667,39,55.33333333,53.5,57.33333333,49.83333333,46.66666667,48.33333333,48.33333333
22,10261,2011/2012,54,39,54,54,68,48,52,48,42
23,10261,2013/2014,58,39,72,48,51,46,41,39,51
24,8456,2014/2015,59,35,29,32,49,62,42,44,54
25,8456,2015/2016,59,35,29,38,36,24,48,47,54
26,8456,2010/2011,70,35,60,70,65,75,65,65,50
27,8456,2008/2009,56.5,35,44.5,45.66666667,50.33333333,52.83333333,48.66666667,52.5,51.83333333
28,8456,2009/2010,70,35,60,55,70,70,45,55,45
29,8456,2012/2013,56.5,35,44.5,45.66666667,50.33333333,52.83333333,48.66666667,52.5,51.83333333
30,8456,2011/2012,45,35,55,40,38,48,50,60,54
31,8456,2013/2014,36,35,34,39,44,38,42,44,54
32,8650,2014/2015,71,48,32,34,41,61,51,48,62
33,8650,2015/2016,66,60,45,34,34,46,51,52,61
34,8650,2010/2011,60,54,50,40,45,60,55,55,50
35,8650,2008/2009,57.66666667,54,44.33333333,41.33333333,47.83333333,57.33333333,51,52.5,56
36,8650,2009/2010,50,54,35,50,60,70,40,60,40
37,8650,2012/2013,57.66666667,54,44.33333333,41.33333333,47.83333333,57.33333333,51,52.5,56
38,8650,2011/2012,60,54,60,48,73,53,50,48,62
39,8650,2013/2014,39,54,44,42,34,54,59,52,61
40,8455,2014/2015,67,52,38,41,61,68,39,41,46
41,8455,2015/2016,67,41,36,41,34,44,39,41,46
42,8455,2010/2011,60,46.5,50,60,60,80,35,55,50
43,8455,2008/2009,61.66666667,46.5,45,49.83333333,55.16666667,61.66666667,40.83333333,50.33333333,44.83333333
44,8455,2009/2010,70,46.5,60,56,70,70,30,60,35
45,8455,2012/2013,61.66666667,46.5,45,49.83333333,55.16666667,61.66666667,40.83333333,50.33333333,44.83333333
46,8455,2011/2012,60,46.5,45,55,45,45,60,62,46
47,8455,2013/2014,46,46.5,41,46,61,63,42,43,46
48,8472,2014/2015,60,33,61,56,44,58,41,38,53
49,8472,2015/2016,43,43,51,59,50,55,47,45,49
50,8472,2010/2011,55,38,55,55,65,55,45,55,65
51,8472,2008/2009,57,38,60.83333333,56.66666667,55.33333333,59,43.66666667,52.16666667,51.83333333
52,8472,2009/2010,60,38,70,70,70,55,35,70,35
53,8472,2012/2013,57,38,60.83333333,56.66666667,55.33333333,59,43.66666667,52.16666667,51.83333333
54,8472,2011/2012,67,38,62,44,72,59,47,53,60
55,8472,2013/2014,57,38,66,56,31,72,47,52,49
56,8668,2014/2015,61,34,42,39,59,48,52,58,60
57,8668,2015/2016,43,45,40,39,33,63,52,58,59
58,8668,2010/2011,60,39.5,50,55,70,55,55,65,60
59,8668,2008/2009,56.33333333,39.5,52.5,48.16666667,58,49.83333333,48.33333333,57.5,56.33333333
60,8668,2009/2010,60,39.5,65,60,70,45,40,70,40
61,8668,2012/2013,56.33333333,39.5,52.5,48.16666667,58,49.83333333,48.33333333,57.5,56.33333333
62,8668,2011/2012,56,39.5,56,48,57,56,50,50,60
63,8668,2013/2014,58,39.5,62,48,59,32,41,44,59
64,8586,2014/2015,41,35,38,41,59,62,58,51,56
65,8586,2015/2016,47,46,40,41,41,63,63,54,56
66,8586,2010/2011,60,40.5,55,70,70,70,30,40,60
67,8586,2008/2009,50.66666667,40.5,46,49.83333333,59.33333333,62.33333333,51.16666667,50,55
68,8586,2009/2010,70,40.5,50,50,65,50,50,50,50
69,8586,2012/2013,50.66666667,40.5,46,49.83333333,59.33333333,62.33333333,51.16666667,50,55
70,8586,2011/2012,44,40.5,47,52,63,61,43,44,51
71,8586,2013/2014,42,40.5,46,45,58,68,63,61,57
72,8654,2014/2015,72,39,73,68,71,32,30,34,41
73,8654,2015/2016,77,37,57,68,73,29,30,37,41
74,8654,2010/2011,35,38,35,30,45,45,45,45,50
75,8654,2008/2009,62.83333333,38,55.33333333,50.33333333,65.5,40.5,32.5,42.83333333,40.16666667
76,8654,2009/2010,58,38,30,31,70,50,30,70,30
77,8654,2012/2013,62.83333333,38,55.33333333,50.33333333,65.5,40.5,32.5,42.83333333,40.16666667
78,8654,2011/2012,63,38,64,44,60,55,30,34,38
79,8654,2013/2014,72,38,73,61,74,32,30,37,41
80,10252,2014/2015,66,32,72,63,48,56,39,42,52
81,10252,2015/2016,63,37,54,60,48,38,35,44,54
82,10252,2010/2011,65,34.5,50,45,55,50,35,45,65
83,10252,2008/2009,65.66666667,34.5,58.66666667,54.83333333,56,47.33333333,36.83333333,48.66666667,51.16666667
84,10252,2009/2010,70,34.5,59,65,70,50,30,70,30
85,10252,2012/2013,65.66666667,34.5,58.66666667,54.83333333,56,47.33333333,36.83333333,48.66666667,51.16666667
86,10252,2011/2012,67,34.5,58,44,60,56,43,50,52
87,10252,2013/2014,63,34.5,59,52,55,34,39,41,54
88,8197,2014/2015,63,36,48,47,62,69,58,62,54
89,8197,2015/2016,63,41,60,47,64,46,58,65,55
90,8197,2010/2011,36,38.5,52,36,52,52,51,34,48
91,8197,2008/2009,53.66666667,38.5,54.33333333,49.33333333,60,54,55.5,55.83333333,55.83333333
92,8197,2009/2010,70,38.5,70,70,70,45,70,70,70
93,8197,2012/2013,53.66666667,38.5,54.33333333,49.33333333,60,54,55.5,55.83333333,55.83333333
94,8197,2011/2012,45,38.5,48,48,56,56,48,52,54
95,8197,2013/2014,45,38.5,48,48,56,56,48,52,54
96,8466,2014/2015,47,41,40,42,56,51,62,64,44
97,8466,2015/2016,52,31,46,42,54,30,50,65,44
98,8466,2010/2011,52,36,37,48,49,47,43,43,48
99,8466,2008/2009,52.5,36,44.66666667,51.33333333,56.83333333,51.83333333,55,59.5,49
100,8466,2009/2010,70,36,55,70,70,65,70,70,70
101,8466,2012/2013,52.5,36,44.66666667,51.33333333,56.83333333,51.83333333,55,59.5,49
102,8466,2011/2012,47,36,52,54,56,60,48,52,44
103,8466,2013/2014,47,36,38,52,56,58,57,63,44
104,10194,2014/2015,48,24,55,51,57,37,38,40,41
105,10194,2015/2016,48,41,49,51,59,49,44,37,51
106,10194,2010/2011,50,32.5,80,30,70,35,25,65,50
107,10194,2008/2009,60.16666667,32.5,67,50.16666667,64.83333333,44.83333333,37.33333333,51.16666667,43.83333333
108,10194,2009/2010,65,32.5,70,70,70,55,35,70,35
109,10194,2012/2013,60.16666667,32.5,67,50.16666667,64.83333333,44.83333333,37.33333333,51.16666667,43.83333333
110,10194,2011/2012,75,32.5,75,40,72,55,50,58,45
111,10194,2013/2014,75,32.5,73,59,61,38,32,37,41
112,8659,2014/2015,55,34,51,53,53,57,41,40,49
113,8659,2015/2016,62,32,51,53,50,60,41,40,49
114,8659,2010/2011,60,33,65,40,50,45,35,55,60
115,8659,2008/2009,57.5,33,51.5,53,56,54.66666667,43,45.66666667,54.83333333
116,8659,2009/2010,65,33,40,70,70,55,70,70,70
117,8659,2012/2013,57.5,33,51.5,53,56,54.66666667,43,45.66666667,54.83333333
118,8659,2011/2012,48,33,48,45,60,54,38,38,52
119,8659,2013/2014,55,33,54,57,53,57,33,31,49
120,9826,2014/2015,61,36,68,67,62,52,36,34,48
121,9826,2015/2016,61,45,67,67,69,50,36,34,41
122,9826,2010/2011,53,40.5,54,69,48,52,48,43,33
123,9826,2008/2009,56.66666667,40.5,58.66666667,68.5,63.5,52.16666667,44.16666667,38.5,48
124,9826,2009/2010,70,40.5,70,70,70,65,65,60,60
125,9826,2012/2013,56.66666667,40.5,58.66666667,68.5,63.5,52.16666667,44.16666667,38.5,48
126,9826,2011/2012,43,40.5,46,69,66,47,44,27,53
127,9826,2013/2014,52,40.5,47,69,66,47,36,33,53
128,8667,2014/2015,56,35,51,54,60,48,38,37,46
129,8667,2015/2016,56,40,55,54,49,56,38,37,46
130,8667,2010/2011,49,40.5,52,64,64,37,46,46,67
131,8667,2008/2009,58.33333333,37.5,52.33333333,53,60.5,50.66666667,44,44.83333333,53.5
132,8667,2009/2010,65,40.5,60,70,70,55,70,70,70
133,8667,2012/2013,58.33333333,37.5,52.33333333,53,60.5,50.66666667,44,44.83333333,53.5
134,8667,2011/2012,61,40.5,48,38,60,54,38,42,46
135,8667,2013/2014,63,40.5,48,38,60,54,34,37,46
136,10003,2014/2015,63,34,34,34,51,36,51,58,54
137,10003,2015/2016,45,44,42,34,36,55,31,47,42
138,10003,2010/2011,66,39,34,52,51,64,44,47,64
139,10003,2008/2009,51,39,40.5,48,48.16666667,54.33333333,49.33333333,56.33333333,57.83333333
140,10003,2009/2010,65,39,70,70,70,70,70,70,70
141,10003,2012/2013,51,39,40.5,48,48.16666667,54.33333333,49.33333333,56.33333333,57.83333333
142,10003,2011/2012,26,39,24,62,39,57,48,58,60
143,10003,2013/2014,41,39,39,36,42,44,52,58,57
144,8191,2014/2015,48,32,74,72,59,58,54,57,58
145,8191,2015/2016,54,32,67,72,57,47,63,62,58
146,8191,2010/2011,36,32,52,49,68,55,24,56,66
147,8191,2008/2009,51.66666667,32,59.5,62.5,61.83333333,54.33333333,51,57.5,61.33333333
148,8191,2009/2010,70,32,65,70,70,70,65,70,70
149,8191,2012/2013,51.66666667,32,59.5,62.5,61.83333333,54.33333333,51,57.5,61.33333333
150,8191,2011/2012,48,32,44,56,58,48,52,50,58
151,8191,2013/2014,54,32,55,56,59,48,48,50,58
152,10172,2014/2015,52,36,53,53,54,54,50,44,54
153,10172,2015/2016,30,39,61,53,53,60,50,44,54
154,10172,2010/2011,51,37.5,49,36,48,52,44,43,40
155,10172,2008/2009,53,37.5,57.5,54.16666667,52,56.33333333,50.83333333,49.83333333,51
156,10172,2009/2010,70,37.5,70,70,70,70,70,70,70
157,10172,2012/2013,53,37.5,57.5,54.16666667,52,56.33333333,50.83333333,49.83333333,51
158,10172,2011/2012,57,37.5,58,60,48,48,42,51,44
159,10172,2013/2014,58,37.5,54,53,39,54,49,47,44
160,9850,2014/2015,45,28,64,55,67,42,40,43,51
161,9850,2015/2016,45,38,55,46,54,47,38,39,51
162,9850,2010/2011,49,33,52,48,64,66,34,54,48
163,9850,2008/2009,56.16666667,33,62,52.83333333,66.33333333,53.33333333,42,49.83333333,52.5
